Student_ID,Age,Gender,Course,Logins,Content_Reads,Forum_Posts,Quiz_Reviews,Assignment1_Late,Assignment2_Late,Assignment3_Late,Avg_Assignment_Time,Engagement_Level,Risk_Score,Risk_Level,Dropout,Suggestion
STU1026,21,Female,IT,29,75,13,8,0,0,0,10,Low,62.33,Medium Risk,No,Improve consistency
STU1027,19,Male,ECE,78,658,45,8,0,0,0,137,High,36.6,Low Risk,No,Maintain performance
STU1028,23,Female,ECE,210,613,9,7,0,0,0,10,High,42.6,Medium Risk,No,Improve consistency
STU1029,22,Female,CSE,98,446,47,2,0,0,1,182,Low,54.73,Medium Risk,No,Improve consistency
STU1030,21,Male,IT,131,268,30,9,0,1,1,275,Low,56.53,Medium Risk,No,Improve consistency
STU1031,18,Female,ECE,29,112,36,3,0,0,0,265,Low,58.53,Medium Risk,No,Improve consistency
STU1032,18,Female,ECE,120,576,22,0,1,0,0,183,Low,70.8,High Risk,Yes,"Attend mentoring, increase activity"
STU1033,20,Female,EEE,52,778,26,8,1,1,0,54,Low,71.47,High Risk,Yes,"Attend mentoring, increase activity"
STU1034,20,Female,CSE,230,110,5,4,0,1,0,150,Low,58.33,Medium Risk,No,Improve consistency
STU1035,24,Female,EEE,270,207,25,5,0,0,0,36,Low,29,Low Risk,No,Maintain performance
STU1036,19,Male,EEE,103,235,1,2,1,0,0,242,Low,81.67,High Risk,Yes,"Attend mentoring, increase activity"
STU1037,21,Female,ECE,15,472,44,9,0,0,1,218,Low,53.6,Medium Risk,No,Improve consistency
STU1038,21,Female,CSE,89,246,12,7,0,1,0,59,Low,66.93,Medium Risk,No,Improve consistency
STU1039,24,Male,IT,218,35,49,6,0,0,1,70,Low,29.53,Low Risk,No,Maintain performance
STU1040,23,Male,ECE,177,130,18,0,1,0,0,252,Low,65.6,Medium Risk,No,Improve consistency
STU1041,23,Male,IT,213,515,0,9,0,1,0,278,Low,53.6,Medium Risk,No,Improve consistency
STU1042,24,Female,IT,68,191,39,4,0,1,0,149,Low,59.53,Medium Risk,No,Improve consistency
STU1043,23,Male,CSE,262,720,31,9,0,1,0,166,High,28.47,Low Risk,No,Maintain performance
STU1044,20,Female,EEE,125,776,21,8,1,0,0,94,High,54.73,Medium Risk,No,Improve consistency
STU1045,21,Female,CSE,58,643,47,5,0,0,1,93,Low,54.07,Medium Risk,No,Improve consistency
STU1046,24,Male,IT,276,552,28,7,0,0,0,285,High,22.4,Low Risk,No,Maintain performance
STU1047,21,Male,ECE,245,324,1,9,0,0,0,40,Low,38.73,Low Risk,No,Maintain performance
STU1048,18,Female,IT,247,627,39,0,0,0,1,17,High,43.67,Medium Risk,No,Improve consistency
STU1049,20,Male,ECE,22,745,37,9,0,0,0,289,Low,46.87,Medium Risk,No,Improve consistency
STU1050,22,Female,ECE,191,282,47,6,1,0,0,212,Low,34.33,Low Risk,No,Maintain performance
STU1051,20,Male,CSE,148,241,10,2,0,0,0,42,Low,60.27,Medium Risk,No,Improve consistency
STU1052,24,Male,IT,266,429,16,8,0,1,1,152,High,48.93,Medium Risk,No,Improve consistency
STU1053,22,Male,EEE,243,777,42,5,0,1,1,46,High,42.4,Medium Risk,No,Improve consistency
STU1054,18,Female,IT,80,451,7,4,0,1,0,156,Low,77.13,High Risk,Yes,"Attend mentoring, increase activity"
STU1055,24,Male,IT,192,505,21,7,0,1,0,237,Low,47.8,Medium Risk,No,Improve consistency
STU1056,19,Female,EEE,250,33,3,7,0,0,1,43,Low,50.87,Medium Risk,No,Improve consistency
STU1057,21,Female,CSE,134,118,10,2,1,0,1,246,Low,82.13,High Risk,Yes,"Attend mentoring, increase activity"
STU1058,18,Female,IT,287,712,7,1,0,0,0,221,High,45.53,Medium Risk,No,Improve consistency
STU1059,21,Female,IT,83,511,8,1,0,0,1,149,Low,82.13,High Risk,Yes,"Attend mentoring, increase activity"
STU1060,23,Male,ECE,76,34,25,4,0,1,0,199,Low,66.87,Medium Risk,No,Improve consistency
STU1061,19,Female,IT,267,196,1,9,0,0,0,105,Low,35.8,Low Risk,No,Maintain performance
STU1062,19,Female,EEE,195,297,15,6,0,0,0,203,Low,43,Medium Risk,No,Improve consistency
STU1063,18,Male,ECE,67,637,30,7,0,0,0,161,Low,49.07,Medium Risk,No,Improve consistency
STU1064,19,Female,CSE,16,347,5,9,0,0,0,232,Low,66.87,Medium Risk,No,Improve consistency
STU1065,22,Male,ECE,145,46,20,7,0,0,1,205,Low,54.67,Medium Risk,No,Improve consistency
STU1066,19,Female,EEE,258,146,25,7,0,0,0,97,Low,26.6,Low Risk,No,Maintain performance
STU1067,21,Male,EEE,47,517,18,9,0,0,0,26,Low,54.93,Medium Risk,No,Improve consistency
STU1068,21,Female,ECE,21,236,27,2,0,0,0,220,Low,67,Medium Risk,No,Improve consistency
STU1069,24,Male,CSE,67,329,7,1,1,1,1,241,Low,104.87,High Risk,Yes,"Attend mentoring, increase activity"
STU1070,21,Female,ECE,257,191,13,3,0,0,1,192,Low,51.93,Medium Risk,No,Improve consistency
STU1071,24,Female,CSE,296,95,23,0,1,0,0,171,Low,46.73,Medium Risk,No,Improve consistency
STU1072,21,Male,ECE,12,476,47,2,0,0,0,79,Low,56.2,Medium Risk,No,Improve consistency
STU1073,22,Male,EEE,94,62,43,8,0,0,0,69,Low,35.67,Low Risk,No,Maintain performance
STU1074,24,Male,IT,212,244,36,6,0,0,0,188,Low,28.13,Low Risk,No,Maintain performance
STU1075,20,Male,IT,296,788,25,6,0,0,0,86,High,23.53,Low Risk,No,Maintain performance
STU1076,23,Female,CSE,288,442,30,0,0,1,0,44,High,43.6,Medium Risk,No,Improve consistency
STU1077,18,Female,CSE,122,505,31,6,0,0,1,25,Low,53.13,Medium Risk,No,Improve consistency
STU1078,21,Male,CSE,179,109,49,9,0,0,0,180,Low,18.73,Low Risk,No,Maintain performance
STU1079,19,Female,EEE,80,608,40,6,0,0,0,41,Low,43.33,Medium Risk,No,Improve consistency
STU1080,21,Male,ECE,105,412,1,3,0,0,0,272,Low,69.4,Medium Risk,No,Improve consistency
STU1081,19,Male,EEE,155,405,24,6,1,0,0,224,Low,52.93,Medium Risk,No,Improve consistency
STU1082,23,Female,IT,274,536,43,7,0,0,0,55,High,13.67,Low Risk,No,Maintain performance
STU1083,23,Female,CSE,75,424,1,2,0,0,0,198,Low,75.4,High Risk,Yes,"Attend mentoring, increase activity"
STU1084,23,Female,ECE,184,622,41,9,0,0,1,283,High,32.87,Low Risk,No,Maintain performance
STU1085,19,Female,IT,128,686,0,1,1,0,0,80,Low,80.93,High Risk,Yes,"Attend mentoring, increase activity"
STU1086,21,Female,IT,297,472,35,6,0,1,0,97,High,27.4,Low Risk,No,Maintain performance
STU1087,23,Female,IT,289,550,11,4,0,1,0,270,High,46.87,Medium Risk,No,Improve consistency
STU1088,22,Female,EEE,199,635,8,4,0,0,1,191,High,60.67,Medium Risk,No,Improve consistency
STU1089,24,Male,CSE,232,628,35,4,0,0,0,31,High,30.07,Low Risk,No,Maintain performance
STU1090,19,Male,IT,279,373,40,6,0,0,1,83,High,26.8,Low Risk,No,Maintain performance
STU1091,19,Male,CSE,110,139,27,8,0,0,0,99,Low,43.13,Medium Risk,No,Improve consistency
STU1092,21,Male,EEE,25,93,37,7,1,0,0,175,Low,60.47,Medium Risk,No,Improve consistency
STU1093,19,Male,IT,68,280,32,5,1,0,1,243,Low,71.73,High Risk,Yes,"Attend mentoring, increase activity"
STU1094,19,Female,EEE,169,253,41,6,0,0,0,138,Low,30.87,Low Risk,No,Maintain performance
STU1095,23,Male,EEE,31,397,45,8,1,0,0,104,Low,52.87,Medium Risk,No,Improve consistency
STU1096,21,Male,CSE,289,223,21,5,0,0,0,37,Low,28.87,Low Risk,No,Maintain performance
STU1097,23,Male,IT,152,175,24,0,1,0,1,44,Low,75.33,High Risk,Yes,"Attend mentoring, increase activity"
STU1098,24,Male,EEE,285,68,17,3,0,0,0,240,Low,35.8,Low Risk,No,Maintain performance
STU1099,24,Male,IT,168,611,5,7,0,0,0,134,Low,50.6,Medium Risk,No,Improve consistency
STU1100,23,Male,CSE,228,513,17,6,1,0,0,88,High,47.4,Medium Risk,No,Improve consistency
STU1101,24,Male,EEE,276,715,15,2,1,0,0,70,High,50.2,Medium Risk,No,Improve consistency
STU1102,21,Female,CSE,150,132,14,9,0,0,0,226,Low,43.6,Medium Risk,No,Improve consistency
STU1103,18,Female,IT,34,657,47,2,0,0,0,291,Low,53.27,Medium Risk,No,Improve consistency
STU1104,23,Male,IT,49,422,7,2,0,0,0,172,Low,75.27,High Risk,Yes,"Attend mentoring, increase activity"
STU1105,22,Female,CSE,279,148,12,0,1,0,0,66,Low,55.6,Medium Risk,No,Improve consistency
STU1106,22,Female,ECE,38,238,42,9,0,0,0,200,Low,41.73,Medium Risk,No,Improve consistency
STU1107,19,Female,EEE,145,283,6,0,0,0,0,141,Low,67.07,Medium Risk,No,Improve consistency
STU1108,24,Female,IT,225,448,16,5,0,1,0,51,Low,50.4,Medium Risk,No,Improve consistency
STU1109,22,Male,IT,26,571,49,0,0,0,1,182,Low,67.13,Medium Risk,No,Improve consistency
STU1110,19,Female,EEE,184,127,31,4,0,0,1,176,Low,48.87,Medium Risk,No,Improve consistency
STU1111,18,Female,CSE,235,723,21,3,0,1,0,259,High,50.07,Medium Risk,No,Improve consistency
STU1112,21,Female,CSE,42,492,12,4,0,0,1,202,Low,79.2,High Risk,Yes,"Attend mentoring, increase activity"
STU1113,21,Male,CSE,74,404,46,6,0,0,1,287,Low,50.53,Medium Risk,No,Improve consistency
STU1114,21,Male,ECE,120,712,22,5,0,0,0,247,High,50.8,Medium Risk,No,Improve consistency
STU1115,22,Male,ECE,243,469,28,8,0,0,0,239,High,24.8,Low Risk,No,Maintain performance
STU1116,18,Male,IT,152,702,21,5,0,0,0,174,High,47.13,Medium Risk,No,Improve consistency
STU1117,22,Male,CSE,13,87,0,8,0,0,1,252,Low,82.27,High Risk,Yes,"Attend mentoring, increase activity"
STU1118,24,Male,EEE,292,421,28,3,0,1,0,99,High,38.27,Low Risk,No,Maintain performance
STU1119,22,Male,IT,54,84,47,0,0,0,0,188,Low,54.6,Medium Risk,No,Improve consistency
STU1120,18,Female,EEE,9,304,4,0,0,0,0,67,Low,86.4,High Risk,Yes,"Attend mentoring, increase activity"
STU1121,18,Female,IT,130,30,34,9,0,0,1,272,Low,44.27,Medium Risk,No,Improve consistency
STU1122,24,Female,ECE,79,180,9,6,0,0,0,145,Low,62.07,Medium Risk,No,Improve consistency
STU1123,18,Male,IT,169,24,18,2,0,0,1,247,Low,62.67,Medium Risk,No,Improve consistency
STU1124,18,Male,ECE,282,220,36,1,1,0,1,252,High,48.8,Medium Risk,No,Improve consistency
STU1125,21,Male,IT,294,569,6,5,0,0,0,160,High,37.2,Low Risk,No,Maintain performance
STU1126,24,Male,CSE,81,95,45,5,1,0,0,256,Low,52.2,Medium Risk,No,Improve consistency
STU1127,20,Male,EEE,141,158,34,6,0,1,0,228,Low,48.8,Medium Risk,No,Improve consistency
STU1128,20,Female,CSE,110,709,44,4,1,0,1,18,High,60.93,Medium Risk,No,Improve consistency
STU1129,18,Female,IT,99,381,12,7,0,0,1,22,Low,65.6,Medium Risk,No,Improve consistency
STU1130,20,Male,IT,139,489,9,6,0,0,1,272,Low,64.07,Medium Risk,No,Improve consistency
STU1131,20,Male,IT,72,160,1,1,1,1,0,234,Low,97.8,High Risk,Yes,"Attend mentoring, increase activity"
STU1132,18,Male,ECE,151,150,5,0,0,1,0,240,Low,76.87,High Risk,Yes,"Attend mentoring, increase activity"
STU1133,20,Male,EEE,163,78,7,8,0,0,0,187,Low,48.07,Medium Risk,No,Improve consistency
STU1134,22,Female,EEE,167,269,35,4,0,1,0,256,Low,48.73,Medium Risk,No,Improve consistency
STU1135,19,Male,IT,193,530,24,4,1,0,1,76,High,61.87,Medium Risk,No,Improve consistency
STU1136,24,Male,IT,99,642,43,9,0,0,0,166,High,33,Low Risk,No,Maintain performance
STU1137,19,Male,ECE,185,380,46,3,0,0,0,174,High,31.73,Low Risk,No,Maintain performance
STU1138,18,Male,CSE,292,428,39,1,0,0,0,193,High,25.67,Low Risk,No,Maintain performance
STU1139,21,Female,CSE,191,110,6,4,0,1,0,217,Low,62.93,Medium Risk,No,Improve consistency
STU1140,24,Male,EEE,142,670,45,1,0,0,0,25,High,42.07,Medium Risk,No,Improve consistency
STU1141,18,Male,ECE,134,667,22,6,0,0,0,250,High,46.93,Medium Risk,No,Improve consistency
STU1142,21,Female,IT,198,252,18,8,1,1,1,239,Low,66.8,Medium Risk,No,Improve consistency
STU1143,19,Female,EEE,277,762,45,8,0,0,0,27,High,10.07,Low Risk,No,Maintain performance
STU1144,18,Female,ECE,148,521,21,5,0,0,0,156,Low,47.67,Medium Risk,No,Improve consistency
STU1145,24,Male,CSE,20,564,12,0,0,0,0,253,Low,80.13,High Risk,Yes,"Attend mentoring, increase activity"
STU1146,24,Male,ECE,249,104,20,5,0,0,1,60,Low,44.8,Medium Risk,No,Improve consistency
STU1147,23,Female,CSE,111,235,0,4,0,0,0,268,Low,67.2,Medium Risk,No,Improve consistency
STU1148,22,Female,ECE,92,527,18,3,0,1,1,247,Low,80.93,High Risk,Yes,"Attend mentoring, increase activity"
STU1149,20,Female,EEE,133,223,32,5,0,0,0,255,Low,43.07,Medium Risk,No,Improve consistency
STU1150,21,Female,CSE,8,727,3,5,0,0,0,58,Low,77.13,High Risk,Yes,"Attend mentoring, increase activity"
STU1151,23,Female,EEE,99,76,41,5,0,0,0,293,Low,42.2,Medium Risk,No,Improve consistency
STU1152,20,Female,EEE,213,405,2,1,0,0,0,47,Low,58.4,Medium Risk,No,Improve consistency
STU1153,20,Male,CSE,229,621,26,6,0,0,1,293,High,41.87,Medium Risk,No,Improve consistency
STU1154,18,Male,CSE,51,21,40,3,0,1,0,41,Low,63.2,Medium Risk,No,Improve consistency
STU1155,20,Male,IT,185,246,34,8,0,1,0,252,Low,38.93,Low Risk,No,Maintain performance
STU1156,22,Female,IT,110,779,27,9,0,0,0,50,High,41.13,Medium Risk,No,Improve consistency
STU1157,24,Female,IT,203,408,5,1,1,0,1,112,Low,77.93,High Risk,Yes,"Attend mentoring, increase activity"
STU1158,23,Female,EEE,110,416,5,4,0,0,1,116,Low,74.33,High Risk,Yes,"Attend mentoring, increase activity"
STU1159,20,Female,EEE,284,489,43,3,0,0,0,255,High,20.33,Low Risk,No,Maintain performance
STU1160,18,Female,IT,264,656,22,8,0,0,0,96,High,25.6,Low Risk,No,Maintain performance
STU1161,22,Female,EEE,112,231,32,3,1,0,1,75,Low,69.87,Medium Risk,No,Improve consistency
STU1162,19,Male,EEE,23,165,15,7,0,0,1,147,Low,73.93,High Risk,Yes,"Attend mentoring, increase activity"
STU1163,24,Male,CSE,175,663,23,7,1,1,0,209,High,58.87,Medium Risk,No,Improve consistency
STU1164,24,Female,CSE,199,437,4,5,0,0,0,102,Low,51.07,Medium Risk,No,Improve consistency
STU1165,23,Male,EEE,16,167,40,5,1,0,1,287,Low,73.87,High Risk,Yes,"Attend mentoring, increase activity"
STU1166,24,Female,IT,199,425,41,7,0,1,0,29,High,34.87,Low Risk,No,Maintain performance
STU1167,20,Male,ECE,287,335,12,9,0,0,0,298,Low,26.53,Low Risk,No,Maintain performance
STU1168,18,Female,IT,186,380,46,8,0,0,1,99,High,31.6,Low Risk,No,Maintain performance
STU1169,24,Female,ECE,148,353,11,4,1,0,0,59,Low,65.67,Medium Risk,No,Improve consistency
STU1170,24,Male,IT,186,271,4,0,0,0,1,19,Low,72.8,High Risk,Yes,"Attend mentoring, increase activity"
STU1171,19,Male,CSE,34,292,36,0,0,1,0,88,Low,73.87,High Risk,Yes,"Attend mentoring, increase activity"
STU1172,19,Female,EEE,88,238,30,1,0,0,1,46,Low,68.27,Medium Risk,No,Improve consistency
STU1173,21,Female,EEE,170,289,27,9,0,0,0,68,Low,33.13,Low Risk,No,Maintain performance
STU1174,22,Male,CSE,288,299,27,9,0,0,1,97,High,27.4,Low Risk,No,Maintain performance
STU1175,20,Male,ECE,285,689,29,4,0,1,0,113,High,36.6,Low Risk,No,Maintain performance
STU1176,24,Female,ECE,100,56,17,3,0,0,0,286,Low,60.47,Medium Risk,No,Improve consistency
STU1177,24,Male,ECE,270,724,43,0,1,0,0,113,High,38.2,Low Risk,No,Maintain performance
STU1178,18,Female,CSE,229,223,26,3,0,0,1,263,Low,47.87,Medium Risk,No,Improve consistency
STU1179,21,Female,ECE,46,767,34,3,0,1,0,239,Low,67.47,Medium Risk,No,Improve consistency
STU1180,22,Female,CSE,250,33,25,9,0,0,0,46,Low,23.67,Low Risk,No,Maintain performance
STU1181,21,Female,IT,212,330,38,3,1,0,0,151,Low,42.93,Medium Risk,No,Improve consistency
STU1182,23,Male,IT,241,283,48,0,0,0,0,52,High,29.07,Low Risk,No,Maintain performance
STU1183,22,Male,CSE,26,565,17,8,0,0,0,125,Low,60.33,Medium Risk,No,Improve consistency
STU1184,24,Male,EEE,189,322,32,2,1,0,1,93,Low,61.6,Medium Risk,No,Improve consistency
STU1185,24,Male,IT,246,372,24,3,0,0,0,268,High,36.8,Low Risk,No,Maintain performance
STU1186,22,Male,ECE,287,677,30,4,0,0,0,96,High,25.73,Low Risk,No,Maintain performance
STU1187,24,Male,CSE,45,389,36,6,0,0,1,105,Low,60.4,Medium Risk,No,Improve consistency
STU1188,20,Male,ECE,166,720,1,5,1,0,0,264,Low,67.27,Medium Risk,No,Improve consistency
STU1189,22,Female,ECE,164,683,32,4,0,0,0,145,High,40.93,Medium Risk,No,Improve consistency
STU1190,21,Male,EEE,93,479,38,7,0,0,0,257,Low,40.8,Medium Risk,No,Improve consistency
STU1191,22,Male,ECE,16,755,42,0,0,0,0,101,Low,62.67,Medium Risk,No,Improve consistency
STU1192,24,Female,EEE,77,684,42,6,0,1,0,256,High,52.53,Medium Risk,No,Improve consistency
STU1193,20,Male,IT,80,125,31,5,1,0,0,267,Low,60.73,Medium Risk,No,Improve consistency
STU1194,20,Male,CSE,205,614,17,4,0,0,1,196,High,54.47,Medium Risk,No,Improve consistency
STU1195,23,Female,ECE,14,51,16,6,0,0,0,133,Low,66.53,Medium Risk,No,Improve consistency
STU1196,21,Male,CSE,230,388,33,2,1,0,0,269,High,45.53,Medium Risk,No,Improve consistency
STU1197,19,Male,ECE,180,731,38,0,0,0,1,178,High,53.2,Medium Risk,No,Improve consistency
STU1198,19,Male,CSE,280,215,6,8,0,0,0,120,Low,33.07,Low Risk,No,Maintain performance
STU1199,22,Female,ECE,43,475,41,1,1,1,1,299,Low,87.67,High Risk,Yes,"Attend mentoring, increase activity"
STU1200,23,Male,ECE,64,741,34,9,0,0,0,96,Low,43.07,Medium Risk,No,Improve consistency
STU1201,18,Male,ECE,70,289,29,2,0,1,0,22,Low,69.27,Medium Risk,No,Improve consistency
STU1202,22,Female,ECE,128,657,11,7,0,1,0,272,Low,62.33,Medium Risk,No,Improve consistency
STU1203,23,Male,ECE,168,627,34,9,0,1,0,297,High,39.2,Low Risk,No,Maintain performance
STU1204,21,Female,ECE,163,127,10,8,1,0,0,32,Low,56.27,Medium Risk,No,Improve consistency
STU1205,21,Female,ECE,61,246,43,2,0,0,0,209,Low,52.07,Medium Risk,No,Improve consistency
STU1206,21,Male,ECE,82,318,3,5,0,0,0,251,Low,67.27,Medium Risk,No,Improve consistency
STU1207,21,Female,ECE,198,465,24,6,0,0,0,248,Low,37.2,Low Risk,No,Maintain performance
STU1208,21,Female,CSE,289,484,47,0,0,0,0,174,High,23.27,Low Risk,No,Maintain performance
STU1209,23,Male,EEE,19,109,31,6,1,0,0,235,Low,66.87,Medium Risk,No,Improve consistency
STU1210,23,Female,ECE,16,270,19,3,0,1,0,185,Low,80.47,High Risk,Yes,"Attend mentoring, increase activity"
STU1211,20,Female,EEE,105,314,49,4,1,0,0,38,Low,48.6,Medium Risk,No,Improve consistency
STU1212,19,Male,ECE,160,363,30,7,0,0,0,174,Low,36.67,Low Risk,No,Maintain performance
STU1213,24,Male,ECE,129,295,3,3,0,0,0,32,Low,65,Medium Risk,No,Improve consistency
STU1214,21,Male,CSE,284,337,37,3,0,0,0,53,High,23.93,Low Risk,No,Maintain performance
STU1215,18,Female,IT,114,112,46,7,1,0,0,270,Low,43.2,Medium Risk,No,Improve consistency
STU1216,24,Male,IT,150,72,0,4,0,0,0,189,Low,62,Medium Risk,No,Improve consistency
STU1217,23,Female,CSE,220,696,2,5,0,0,1,148,High,59.47,Medium Risk,No,Improve consistency
STU1218,18,Female,EEE,166,291,36,4,0,0,0,257,Low,38.27,Low Risk,No,Maintain performance
STU1219,18,Female,IT,132,450,21,0,0,0,0,250,Low,59.8,Medium Risk,No,Improve consistency
STU1220,18,Female,CSE,154,302,16,6,0,0,1,115,Low,57.87,Medium Risk,No,Improve consistency
STU1221,20,Female,CSE,40,747,13,5,1,0,1,182,Low,86.87,High Risk,Yes,"Attend mentoring, increase activity"
STU1222,23,Female,IT,177,16,40,1,0,0,1,58,Low,50.4,Medium Risk,No,Improve consistency
STU1223,18,Female,EEE,26,648,34,6,0,0,0,132,Low,54.13,Medium Risk,No,Improve consistency
STU1224,21,Male,CSE,210,101,12,5,0,0,0,44,Low,44.8,Medium Risk,No,Improve consistency
STU1225,22,Male,ECE,131,199,34,4,0,0,1,115,Low,54.13,Medium Risk,No,Improve consistency
STU1226,18,Female,EEE,221,485,42,7,0,0,1,205,High,31.33,Low Risk,No,Maintain performance
STU1227,20,Female,EEE,100,520,1,4,0,0,0,118,Low,68.07,Medium Risk,No,Improve consistency
STU1228,24,Male,IT,168,471,46,1,0,0,0,134,High,38,Low Risk,No,Maintain performance
STU1229,23,Female,IT,152,62,12,5,0,1,1,46,Low,72.53,High Risk,Yes,"Attend mentoring, increase activity"
STU1230,20,Male,ECE,22,763,15,0,0,0,0,197,Low,78.07,High Risk,Yes,"Attend mentoring, increase activity"
STU1231,18,Male,CSE,298,495,17,4,0,0,0,32,High,32.07,Low Risk,No,Maintain performance
STU1232,23,Male,IT,199,653,6,5,0,0,0,270,High,49.87,Medium Risk,No,Improve consistency
STU1233,22,Female,IT,155,499,44,6,0,0,0,203,High,30.93,Low Risk,No,Maintain performance
STU1234,18,Female,EEE,127,373,35,1,0,0,0,161,Low,50.07,Medium Risk,No,Improve consistency
STU1235,20,Male,IT,191,121,40,0,0,1,0,27,Low,50.53,Medium Risk,No,Improve consistency
STU1236,19,Male,IT,153,418,29,5,0,1,1,36,Low,62.2,Medium Risk,No,Improve consistency
STU1237,21,Male,IT,108,16,41,2,0,0,0,33,Low,47,Medium Risk,No,Improve consistency
STU1238,24,Male,IT,247,751,40,4,0,1,0,38,High,35.07,Low Risk,No,Maintain performance
STU1239,20,Male,EEE,235,677,6,1,0,0,1,148,High,63.07,Medium Risk,No,Improve consistency
STU1240,23,Female,ECE,210,206,14,0,0,0,0,155,Low,53.6,Medium Risk,No,Improve consistency
STU1241,18,Male,ECE,202,744,39,0,1,0,0,132,High,49.67,Medium Risk,No,Improve consistency
STU1242,21,Female,CSE,91,376,18,3,0,0,0,137,Low,61.07,Medium Risk,No,Improve consistency
STU1243,18,Male,IT,146,259,42,9,0,0,0,126,Low,27.33,Low Risk,No,Maintain performance
STU1244,23,Female,EEE,203,604,36,1,1,0,0,141,High,49.33,Medium Risk,No,Improve consistency
STU1245,18,Female,CSE,50,249,1,0,0,0,0,298,Low,82.73,High Risk,Yes,"Attend mentoring, increase activity"
STU1246,19,Female,CSE,292,389,41,5,0,0,1,215,High,26.47,Low Risk,No,Maintain performance
STU1247,21,Female,ECE,19,480,47,3,0,0,1,245,Low,63.27,Medium Risk,No,Improve consistency
STU1248,21,Female,EEE,48,784,12,9,0,0,0,51,Low,58.4,Medium Risk,No,Improve consistency
STU1249,23,Female,EEE,173,710,39,6,0,0,0,169,High,31.53,Low Risk,No,Maintain performance
STU1250,24,Male,EEE,48,464,40,5,0,0,0,261,Low,49.6,Medium Risk,No,Improve consistency
STU1251,19,Female,ECE,102,375,42,4,0,0,0,188,Low,43.2,Medium Risk,No,Improve consistency
STU1252,20,Male,ECE,265,299,42,9,0,1,0,134,High,21.47,Low Risk,No,Maintain performance
STU1253,18,Female,ECE,113,412,30,1,0,0,1,269,Low,64.93,Medium Risk,No,Improve consistency
STU1254,22,Female,ECE,287,67,15,4,0,1,0,285,Low,44.73,Medium Risk,No,Improve consistency
STU1255,18,Male,ECE,108,530,41,8,0,0,0,222,Low,35,Low Risk,No,Maintain performance
STU1256,18,Female,IT,260,313,43,8,0,0,0,199,High,13.53,Low Risk,No,Maintain performance
STU1257,20,Male,IT,210,124,5,1,0,1,0,67,Low,67,Medium Risk,No,Improve consistency
